Column1,Column2,Column3,Column4,Column5,Column6,Column7
,,Los Angeles,Phoenix,San Diego,San Francisco,Seattle
ALASKA,On time,497,221,212,503,1841
,Delayed,62,12,20,102,305
,,,,,,
AM WEST,On time,694,4840,383,320,201
,Delayed,117,415,65,129,61
